cash,alpha,beta,ceti,delta,epsilon,fenix,gamma,helion,ixion,juno,kappa
200,350,200,200,250,200,200,250,250,200,350,250
275,1100,400,200,600,200,400,675,275,475,1200,325
350,1150,525,225,750,200,500,850,375,600,1325,425
425,1200,600,275,875,250,600,975,425,700,1450,550
475,1250,675,325,975,275,675,1042,500,800,1550,625
525,1300,750,350,1038,325,750,1051,550,875,1650,700
575,1350,825,400,1045,350,800,1060,600,950,1775,775
625,1400,875,425,1052,375,875,1070,650,1035,1800,850
950,1500,950,950,1060,950,950,1080,950,1045,1800,1035
1040,1600,1040,1040,1070,1040,1040,1090,1040,1055,1800,1100
1050,1700,1050,1050,1080,1050,1050,1100,1050,1065,1800,1150
1060,1800,1060,1060,1090,1060,1060,1110,1060,1075,1800,1200
